40,39,37,37,35,35,38,39,39,39,32,32,33,37,36,31,36,36,35,36,33,35,41,37,33,32,36,38,35,33
21,22,32,22,34,31,25,28,29,26,20,21,31,25,34,17,27,34,16,17,19,21,17,32,23,15,21,19,26,19
30,28,20,32,21,23,29,28,24,24,19,20,29,26,28,27,17,31,18,15,15,21,22,18,22,23,25,30,28,19
26,20,27,28,17,26,21,25,23,26,19,27,17,24,30,21,24,27,20,27,21,16,23,33,31,20,18,29,30,28
32,34,30,25,30,28,21,25,22,28,15,16,16,19,17,31,30,34,34,29,23,16,34,26,19,20,33,29,23,15
34,17,15,31,23,21,34,34,33,20,19,22,18,33,17,15,25,18,25,27,34,32,26,29,15,33,25,27,16,18
33,32,29,22,33,17,30,29,30,22,27,24,22,30,32,22,25,33,28,27,32,25,32,18,22,32,16,24,20,22
17,21,22,28,15,28,31,19,22,24,20,15,17,24,23,18,19,16,24,33,24,28,28,22,33,20,28,28,26,34
30,29,28,34,25,18,15,31,31,18,23,25,25,27,15,22,23,31,25,20,16,22,30,19,15,31,26,16,24,18
25,33,33,15,17,25,21,31,32,32,29,21,19,26,20,17,30,21,17,31,34,31,30,26,19,15,22,19,19,29
25,19,17,28,27,29,25,30,30,28,16,15,33,18,25,25,29,20,30,23,16,32,31,17,15,21,29,30,20,18
16,25,17,22,24,19,34,18,25,24,32,31,22,17,29,16,16,18,15,28,23,25,22,27,23,17,27,19,18,31
32,26,31,21,16,16,25,19,18,28,18,33,20,31,28,24,31,18,25,34,16,20,26,26,29,22,34,34,30,16
29,32,26,32,22,18,31,27,18,32,25,15,23,15,18,24,21,26,22,18,19,18,28,27,17,25,26,26,27,26
28,28,15,22,32,25,15,17,26,28,30,24,17,22,24,19,16,21,22,15,26,27,30,32,29,15,23,28,33,17
